x,y
-40.62,108.73
-40.61977,108.7302
-40.62795,108.7244
-40.64247,108.7143
-40.66477,108.6987
-40.69412,108.6784
-40.74603,108.642
-40.79406,108.6077
-40.87284,108.5511
-40.94334,108.4999
-41.02448,108.4408
-41.15068,108.3486
-41.26015,108.2689
-41.38316,108.1793
-41.56879,108.0421
-41.72458,107.9257
-41.89446,107.7977
-42.14211,107.6082
-42.34444,107.4532
-42.56066,107.2869
-42.79032,107.1089
-43.03248,106.919
-43.37477,106.648
-43.64627,106.4303
-43.92985,106.2001
-44.22677,105.9575
-44.64161,105.6161
-44.96758,105.3472
-45.30686,105.0669
-45.65833,104.7753
-46.02329,104.4737
-46.53127,104.0569
-46.92742,103.7325
-47.33667,103.3983
-47.75898,103.0544
-48.34195,102.5806
-48.79357,102.2133
-49.25782,101.8363
-49.73463,101.4498
-50.38911,100.9189
-50.89432,100.5096
-51.41146,100.0904
-51.94033,99.66141
-52.48122,99.22298
-53.22094,98.62386
-53.7891,98.16314
-54.36864,97.69273
-54.96024,97.21362
-55.76768,96.56139
-56.38638,96.06127
-57.01627,95.55186
-57.65777,95.03384
-58.53049,94.32915
-59.19843,93.79075
-59.87721,93.24326
-60.79984,92.50025
-61.50399,91.93218
-62.21941,91.35601
-63.19218,90.57712
-63.93559,89.98472
-64.6906,89.3851
-65.45683,88.77838
-66.23308,88.16473
-67.28152,87.33657
-68.07674,86.70911
-69.14742,85.86493
-70.22794,85.01351
-71.04274,84.36958
-71.85979,83.72041
-72.94939,82.84516
-73.76527,82.18121
-74.57863,81.51046
-75.65944,80.60703
-76.46677,79.92326
-77.5397,79.00581
-78.34147,78.31386
-79.14004,77.61855
-80.20019,76.68739
-80.99232,75.98725
-81.78171,75.28592
-82.83062,74.3502
-83.8763,73.4157
-84.65836,72.71584
-85.43736,72.01589
-86.21261,71.31537
-87.23873,70.37892
-88.00359,69.67606
-88.76477,68.97337
-89.77351,68.03636
-90.52487,67.3332
-91.27116,66.62914
-92.01236,65.92425
-92.9929,64.98349
-93.72247,64.27737
-94.44749,63.57126
-95.40891,62.63175
-96.12752,61.93022
-96.84494,61.23228
-97.8008,60.30842
-98.75567,59.3921
-99.47018,58.70872
-100.4184,57.80023
-101.124,57.11854
-101.8251,56.43679
-102.7525,55.52718
-103.4421,54.84415
-104.3528,53.93137
-105.0285,53.24458
-105.9208,52.32691
-106.5843,51.63789
-107.243,50.94819
-107.8992,50.26014
-108.7682,49.34324
-109.4155,48.65581
-110.271,47.73808
-110.9071,47.04907
-111.5388,46.35951
-112.3748,45.43985
-112.9975,44.7502
-113.6155,44.0598
-114.2284,43.36816
-115.0405,42.44652
-115.6464,41.75623
-116.4508,40.83781
-117.0522,40.15083
-117.651,39.46464
-118.4461,38.55129
-119.0397,37.86722
-119.6311,37.18414
-120.4176,36.27584
