image;speed;steering_angle;x;y;psi;ptsx;ptsy
sample_data/1.jpg;0;-0.04651292413473129;-40.62;108.73;3.733651;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/2.jpg;0.9652234;-0.015245296061038971;-40.62001;108.7301;3.733665;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/3.jpg;0.6464754;-0.029914267361164093;-40.63263;108.7215;3.733861;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/4.jpg;1.21096;-0.07707188278436661;-40.66177;108.7017;3.734566;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/5.jpg;1.906278;-0.1292542666196823;-40.72135;108.6606;3.734843;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/6.jpg;2.539086;-0.1326877474784851;-40.78812;108.6132;3.736089;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/7.jpg;3.357479;-0.12133734673261642;-40.8973;108.5342;3.738779;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/8.jpg;4.087109;-0.10707174986600876;-41.00736;108.454;3.741433;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/9.jpg;5.102193;-0.11730007082223892;-41.17664;108.3306;3.745224;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/10.jpg;6.222824;-0.12129154056310654;-41.38464;108.1782;3.749565;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/11.jpg;7.137229;-0.11846815794706345;-41.5799;108.0336;3.75387;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
sample_data/12.jpg;8.270135;-0.10595128685235977;-41.85949;107.8238;3.760234;[-32.16173, -43.49173, -61.09, -78.29172, -93.05002, -107.7717];[113.361, 105.941, 92.88499, 78.73102, 65.34102, 50.57938]
